date,hour,CET/CEST time,price_sterling,
01/01/2017,23 - 00,00 - 01,"51,52",
01/01/2017,00 - 01,01 - 02,"51,95",
01/01/2017,01 - 02,02 - 03,"65,00",
01/01/2017,02 - 03,03 - 04,"51,97",
01/01/2017,03 - 04,04 - 05,"41,92",
01/01/2017,04 - 05,05 - 06,"38,97",
01/01/2017,05 - 06,06 - 07,"37,69",
01/01/2017,06 - 07,07 - 08,"37,38",
01/01/2017,07 - 08,08 - 09,"28,88",
01/01/2017,08 - 09,09 - 10,"35,15",
01/01/2017,09 - 10,10 - 11,"39,19",
01/01/2017,10 - 11,11 - 12,"44,88",
01/01/2017,11 - 12,12 - 13,"48,66",
01/01/2017,12 - 13,13 - 14,"55,01",
01/01/2017,13 - 14,14 - 15,"60,75",
01/01/2017,14 - 15,15 - 16,"58,00",
01/01/2017,15 - 16,16 - 17,"50,00",
01/01/2017,16 - 17,17 - 18,"55,00",
01/01/2017,17 - 18,18 - 19,"90,00",
01/01/2017,18 - 19,19 - 20,"55,00",
01/01/2017,19 - 20,20 - 21,"49,27",
01/01/2017,20 - 21,21 - 22,"51,80",
01/01/2017,21 - 22,22 - 23,"49,06",
01/01/2017,22 - 23,23 - 00,"43,46",
02/01/2017,23 - 00,00 - 01,"45,96",
02/01/2017,00 - 01,01 - 02,"43,95",
02/01/2017,01 - 02,02 - 03,"45,00",
02/01/2017,02 - 03,03 - 04,"43,97",
02/01/2017,03 - 04,04 - 05,"42,00",
02/01/2017,04 - 05,05 - 06,"41,14",
02/01/2017,05 - 06,06 - 07,"43,92",
02/01/2017,06 - 07,07 - 08,"51,74",
02/01/2017,07 - 08,08 - 09,"40,85",
02/01/2017,08 - 09,09 - 10,"43,07",
02/01/2017,09 - 10,10 - 11,"47,03",
02/01/2017,10 - 11,11 - 12,"48,10",
02/01/2017,11 - 12,12 - 13,"47,47",
02/01/2017,12 - 13,13 - 14,"53,31",
02/01/2017,13 - 14,14 - 15,"51,14",
02/01/2017,14 - 15,15 - 16,"49,91",
02/01/2017,15 - 16,16 - 17,"50,95",
02/01/2017,16 - 17,17 - 18,"64,42",
02/01/2017,17 - 18,18 - 19,"90,00",
02/01/2017,18 - 19,19 - 20,"66,27",
02/01/2017,19 - 20,20 - 21,"58,60",
02/01/2017,20 - 21,21 - 22,"51,16",
02/01/2017,21 - 22,22 - 23,"50,23",
02/01/2017,22 - 23,23 - 00,"43,05",
03/01/2017,23 - 00,00 - 01,"45,54",
03/01/2017,00 - 01,01 - 02,"46,03",
03/01/2017,01 - 02,02 - 03,"42,98",
03/01/2017,02 - 03,03 - 04,"39,27",
03/01/2017,03 - 04,04 - 05,"37,72",
03/01/2017,04 - 05,05 - 06,"40,42",
03/01/2017,05 - 06,06 - 07,"42,80",
03/01/2017,06 - 07,07 - 08,"50,55",
03/01/2017,07 - 08,08 - 09,"47,57",
03/01/2017,08 - 09,09 - 10,"52,10",
03/01/2017,09 - 10,10 - 11,"56,27",
03/01/2017,10 - 11,11 - 12,"51,63",
03/01/2017,11 - 12,12 - 13,"48,18",
03/01/2017,12 - 13,13 - 14,"47,60",
03/01/2017,13 - 14,14 - 15,"47,58",
03/01/2017,14 - 15,15 - 16,"47,57",
03/01/2017,15 - 16,16 - 17,"50,70",
03/01/2017,16 - 17,17 - 18,"68,88",
03/01/2017,17 - 18,18 - 19,"114,28",
03/01/2017,18 - 19,19 - 20,"75,10",
03/01/2017,19 - 20,20 - 21,"56,33",
03/01/2017,20 - 21,21 - 22,"59,48",
03/01/2017,21 - 22,22 - 23,"46,08",
03/01/2017,22 - 23,23 - 00,"42,51",
04/01/2017,23 - 00,00 - 01,"39,50",
04/01/2017,00 - 01,01 - 02,"43,96",
04/01/2017,01 - 02,02 - 03,"42,06",
04/01/2017,02 - 03,03 - 04,"40,86",
04/01/2017,03 - 04,04 - 05,"38,00",
04/01/2017,04 - 05,05 - 06,"37,99",
04/01/2017,05 - 06,06 - 07,"41,45",
04/01/2017,06 - 07,07 - 08,"48,73",
04/01/2017,07 - 08,08 - 09,"47,53",
04/01/2017,08 - 09,09 - 10,"50,54",
04/01/2017,09 - 10,10 - 11,"53,72",
04/01/2017,10 - 11,11 - 12,"54,88",
04/01/2017,11 - 12,12 - 13,"51,99",
04/01/2017,12 - 13,13 - 14,"48,05",
04/01/2017,13 - 14,14 - 15,"47,57",
04/01/2017,14 - 15,15 - 16,"47,27",
04/01/2017,15 - 16,16 - 17,"56,46",
04/01/2017,16 - 17,17 - 18,"62,99",
04/01/2017,17 - 18,18 - 19,"122,37",
04/01/2017,18 - 19,19 - 20,"80,01",
04/01/2017,19 - 20,20 - 21,"59,95",
04/01/2017,20 - 21,21 - 22,"54,33",
04/01/2017,21 - 22,22 - 23,"49,83",
04/01/2017,22 - 23,23 - 00,"43,59",
05/01/2017,23 - 00,00 - 01,"42,55",
05/01/2017,00 - 01,01 - 02,"42,15",
05/01/2017,01 - 02,02 - 03,"41,54",
05/01/2017,02 - 03,03 - 04,"39,43",
05/01/2017,03 - 04,04 - 05,"36,86",
05/01/2017,04 - 05,05 - 06,"37,54",
05/01/2017,05 - 06,06 - 07,"41,53",
05/01/2017,06 - 07,07 - 08,"48,88",
05/01/2017,07 - 08,08 - 09,"50,84",
05/01/2017,08 - 09,09 - 10,"53,00",
05/01/2017,09 - 10,10 - 11,"58,96",
05/01/2017,10 - 11,11 - 12,"52,96",
05/01/2017,11 - 12,12 - 13,"46,57",
05/01/2017,12 - 13,13 - 14,"46,51",
05/01/2017,13 - 14,14 - 15,"46,08",
05/01/2017,14 - 15,15 - 16,"47,42",
05/01/2017,15 - 16,16 - 17,"57,50",
05/01/2017,16 - 17,17 - 18,"65,59",
05/01/2017,17 - 18,18 - 19,"125,00",
05/01/2017,18 - 19,19 - 20,"77,95",
05/01/2017,19 - 20,20 - 21,"59,02",
05/01/2017,20 - 21,21 - 22,"52,17",
05/01/2017,21 - 22,22 - 23,"47,29",
05/01/2017,22 - 23,23 - 00,"41,53",
06/01/2017,23 - 00,00 - 01,"43,60",
06/01/2017,00 - 01,01 - 02,"44,96",
06/01/2017,01 - 02,02 - 03,"43,41",
06/01/2017,02 - 03,03 - 04,"40,10",
06/01/2017,03 - 04,04 - 05,"38,93",
06/01/2017,04 - 05,05 - 06,"38,00",
06/01/2017,05 - 06,06 - 07,"41,91",
06/01/2017,06 - 07,07 - 08,"46,69",
06/01/2017,07 - 08,08 - 09,"46,67",
06/01/2017,08 - 09,09 - 10,"54,98",
06/01/2017,09 - 10,10 - 11,"54,47",
06/01/2017,10 - 11,11 - 12,"50,72",
06/01/2017,11 - 12,12 - 13,"47,06",
06/01/2017,12 - 13,13 - 14,"48,34",
06/01/2017,13 - 14,14 - 15,"46,59",
06/01/2017,14 - 15,15 - 16,"46,06",
06/01/2017,15 - 16,16 - 17,"46,53",
06/01/2017,16 - 17,17 - 18,"58,74",
06/01/2017,17 - 18,18 - 19,"99,00",
06/01/2017,18 - 19,19 - 20,"61,23",
06/01/2017,19 - 20,20 - 21,"50,07",
06/01/2017,20 - 21,21 - 22,"50,00",
